State,Date,Doses
Andaman and Nicobar Islands,16/01/2021,225
Andaman and Nicobar Islands,18/01/2021,442
Andaman and Nicobar Islands,19/01/2021,644
Andaman and Nicobar Islands,20/01/2021,644
Andaman and Nicobar Islands,21/01/2021,1032
Andaman and Nicobar Islands,22/01/2021,1466
Andaman and Nicobar Islands,23/01/2021,1998
Andaman and Nicobar Islands,24/01/2021,2019
Andaman and Nicobar Islands,25/01/2021,2369
Andaman and Nicobar Islands,26/01/2021,2369
Andaman and Nicobar Islands,27/01/2021,2385
Andaman and Nicobar Islands,28/01/2021,2656
Andaman and Nicobar Islands,29/01/2021,2727
Andaman and Nicobar Islands,30/01/2021,2727
Andaman and Nicobar Islands,31/01/2021,2727
Andaman and Nicobar Islands,01/02/2021,2727
Andaman and Nicobar Islands,02/02/2021,2727
Andaman and Nicobar Islands,03/02/2021,2772
Andaman and Nicobar Islands,04/02/2021,2938
Andaman and Nicobar Islands,05/02/2021,3161
Andaman and Nicobar Islands,06/02/2021,3161
Andaman and Nicobar Islands,07/02/2021,3397
Andaman and Nicobar Islands,08/02/2021,3397
Andaman and Nicobar Islands,09/02/2021,3413
Andaman and Nicobar Islands,10/02/2021,3413
Andaman and Nicobar Islands,11/02/2021,3454
Andaman and Nicobar Islands,12/02/2021,3454
Andaman and Nicobar Islands,13/02/2021,3646
Andaman and Nicobar Islands,14/02/2021,3646
Andaman and Nicobar Islands,15/02/2021,4029
Andaman and Nicobar Islands,16/02/2021,4029
Andaman and Nicobar Islands,17/02/2021,4227
Andaman and Nicobar Islands,18/02/2021,4842
Andaman and Nicobar Islands,19/02/2021,5348
Andaman and Nicobar Islands,20/02/2021,6152
Andaman and Nicobar Islands,21/02/2021,6152
Andaman and Nicobar Islands,22/02/2021,7312
Andaman and Nicobar Islands,23/02/2021,7583
Andaman and Nicobar Islands,24/02/2021,7762
Andaman and Nicobar Islands,25/02/2021,8419
Andaman and Nicobar Islands,26/02/2021,8556
Andaman and Nicobar Islands,27/02/2021,8556
Andaman and Nicobar Islands,28/02/2021,8556
Andaman and Nicobar Islands,01/03/2021,9137
Andaman and Nicobar Islands,02/03/2021,9501
Andaman and Nicobar Islands,03/03/2021,9501
Andaman and Nicobar Islands,04/03/2021,9501
Andaman and Nicobar Islands,05/03/2021,11119
Andaman and Nicobar Islands,06/03/2021,11842
Andaman and Nicobar Islands,07/03/2021,12052
Andaman and Nicobar Islands,08/03/2021,12888
Andaman and Nicobar Islands,09/03/2021,13470
Andaman and Nicobar Islands,10/03/2021,13797
Andaman and Nicobar Islands,11/03/2021,14288
Andaman and Nicobar Islands,12/03/2021,14874
Andaman and Nicobar Islands,13/03/2021,15203
Andaman and Nicobar Islands,14/03/2021,15203
Andaman and Nicobar Islands,15/03/2021,15583
Andaman and Nicobar Islands,16/03/2021,16194
Andaman and Nicobar Islands,17/03/2021,16194
Andhra Pradesh,16/01/2021,18412
Andhra Pradesh,18/01/2021,46680
Andhra Pradesh,19/01/2021,58495
Andhra Pradesh,20/01/2021,91778
Andhra Pradesh,21/01/2021,115365
Andhra Pradesh,22/01/2021,133298
Andhra Pradesh,23/01/2021,147030
Andhra Pradesh,24/01/2021,147030
Andhra Pradesh,25/01/2021,156120
Andhra Pradesh,26/01/2021,156129
Andhra Pradesh,27/01/2021,163727
Andhra Pradesh,28/01/2021,171683
Andhra Pradesh,29/01/2021,179038
Andhra Pradesh,30/01/2021,187252
Andhra Pradesh,31/01/2021,187252
Andhra Pradesh,01/02/2021,187252
Andhra Pradesh,02/02/2021,187252
Andhra Pradesh,03/02/2021,215171
Andhra Pradesh,04/02/2021,243243
Andhra Pradesh,05/02/2021,272190
Andhra Pradesh,06/02/2021,299649
Andhra Pradesh,07/02/2021,299649
Andhra Pradesh,08/02/2021,314316
Andhra Pradesh,09/02/2021,325538
Andhra Pradesh,10/02/2021,335268
Andhra Pradesh,11/02/2021,343813
Andhra Pradesh,12/02/2021,351993
Andhra Pradesh,13/02/2021,362341
Andhra Pradesh,14/02/2021,362341
Andhra Pradesh,15/02/2021,376444
Andhra Pradesh,16/02/2021,390665
Andhra Pradesh,17/02/2021,411783
Andhra Pradesh,18/02/2021,438766
Andhra Pradesh,19/02/2021,469815
Andhra Pradesh,20/02/2021,493471
Andhra Pradesh,21/02/2021,503323
Andhra Pradesh,22/02/2021,529820
Andhra Pradesh,23/02/2021,556810
Andhra Pradesh,24/02/2021,592903
Andhra Pradesh,25/02/2021,634449
Andhra Pradesh,26/02/2021,668944
Andhra Pradesh,27/02/2021,668944
Andhra Pradesh,28/02/2021,668944
Andhra Pradesh,01/03/2021,683633
Andhra Pradesh,02/03/2021,699364
Andhra Pradesh,03/03/2021,722601
Andhra Pradesh,04/03/2021,748938
Andhra Pradesh,05/03/2021,785878
Andhra Pradesh,06/03/2021,834025
Andhra Pradesh,07/03/2021,834025
Andhra Pradesh,08/03/2021,882244
Andhra Pradesh,09/03/2021,930160
Andhra Pradesh,10/03/2021,973239
Andhra Pradesh,11/03/2021,981721
Andhra Pradesh,12/03/2021,1031926
Andhra Pradesh,13/03/2021,1077813
Andhra Pradesh,14/03/2021,1077813
Andhra Pradesh,15/03/2021,1078395
Andhra Pradesh,16/03/2021,1235282
Andhra Pradesh,17/03/2021,1316192
Arunachal Pradesh,16/01/2021,829
Arunachal Pradesh,18/01/2021,2805
Arunachal Pradesh,19/01/2021,2805
Arunachal Pradesh,20/01/2021,3023
Arunachal Pradesh,21/01/2021,4682
Arunachal Pradesh,22/01/2021,5956
Arunachal Pradesh,23/01/2021,6511
Arunachal Pradesh,24/01/2021,6511
Arunachal Pradesh,25/01/2021,7307
Arunachal Pradesh,26/01/2021,7307
Arunachal Pradesh,27/01/2021,7307
Arunachal Pradesh,28/01/2021,8656
Arunachal Pradesh,29/01/2021,9265
Arunachal Pradesh,30/01/2021,9651
Arunachal Pradesh,31/01/2021,9651
Arunachal Pradesh,01/02/2021,9791
Arunachal Pradesh,02/02/2021,9791
Arunachal Pradesh,03/02/2021,9846
Arunachal Pradesh,04/02/2021,10889
Arunachal Pradesh,05/02/2021,11834
Arunachal Pradesh,06/02/2021,12346
Arunachal Pradesh,07/02/2021,12346
Arunachal Pradesh,08/02/2021,13479
Arunachal Pradesh,09/02/2021,13480
Arunachal Pradesh,10/02/2021,13480
Arunachal Pradesh,11/02/2021,14322
Arunachal Pradesh,12/02/2021,15098
Arunachal Pradesh,13/02/2021,16094
Arunachal Pradesh,14/02/2021,16094
Arunachal Pradesh,15/02/2021,18187
Arunachal Pradesh,16/02/2021,18187
Arunachal Pradesh,17/02/2021,18187
Arunachal Pradesh,18/02/2021,21300
Arunachal Pradesh,19/02/2021,23559
Arunachal Pradesh,20/02/2021,23743
Arunachal Pradesh,21/02/2021,23743
Arunachal Pradesh,22/02/2021,26650
Arunachal Pradesh,23/02/2021,27916
Arunachal Pradesh,24/02/2021,27930
Arunachal Pradesh,25/02/2021,30524
Arunachal Pradesh,26/02/2021,32120
Arunachal Pradesh,27/02/2021,32120
Arunachal Pradesh,28/02/2021,32120
Arunachal Pradesh,01/03/2021,34881
Arunachal Pradesh,02/03/2021,37031
Arunachal Pradesh,03/03/2021,37162
Arunachal Pradesh,04/03/2021,40830
Arunachal Pradesh,05/03/2021,43918
Arunachal Pradesh,06/03/2021,45667
Arunachal Pradesh,07/03/2021,45667
Arunachal Pradesh,08/03/2021,48474
Arunachal Pradesh,09/03/2021,50384
Arunachal Pradesh,10/03/2021,50384
Arunachal Pradesh,11/03/2021,53386
Arunachal Pradesh,12/03/2021,55709
Arunachal Pradesh,13/03/2021,57056
Arunachal Pradesh,14/03/2021,57056
Arunachal Pradesh,15/03/2021,96798
Arunachal Pradesh,16/03/2021,62168
Arunachal Pradesh,17/03/2021,62168
Assam,16/01/2021,3528
Assam,18/01/2021,5542
Assam,19/01/2021,7418
Assam,20/01/2021,7585
Assam,21/01/2021,10676
Assam,22/01/2021,13881
Assam,23/01/2021,13881
Assam,24/01/2021,13881
Assam,25/01/2021,19837
Assam,26/01/2021,19837
Assam,27/01/2021,19945
Assam,28/01/2021,28918
Assam,29/01/2021,36932
Assam,30/01/2021,38106
Assam,31/01/2021,38106
Assam,01/02/2021,39724
Assam,02/02/2021,42435
Assam,03/02/2021,43607
Assam,04/02/2021,60556
Assam,05/02/2021,77225
Assam,06/02/2021,87269
Assam,07/02/2021,88585
Assam,08/02/2021,99889
Assam,09/02/2021,108887
Assam,10/02/2021,110977
Assam,11/02/2021,117607
Assam,12/02/2021,125038
Assam,13/02/2021,129781
Assam,14/02/2021,129873
Assam,15/02/2021,132475
Assam,16/02/2021,135419
Assam,17/02/2021,137224
Assam,18/02/2021,146748
Assam,19/02/2021,157532
Assam,20/02/2021,164309
Assam,21/02/2021,165804
Assam,22/02/2021,179102
Assam,23/02/2021,190374
Assam,24/02/2021,195420
Assam,25/02/2021,211037
Assam,26/02/2021,223581
Assam,27/02/2021,223581
Assam,28/02/2021,223581
Assam,01/03/2021,230799
Assam,02/03/2021,251303
Assam,03/03/2021,270406
Assam,04/03/2021,316106
Assam,05/03/2021,357619
Assam,06/03/2021,394401
Assam,07/03/2021,405394
Assam,08/03/2021,441699
Assam,09/03/2021,469387
Assam,10/03/2021,488139
Assam,11/03/2021,508981
Assam,12/03/2021,528177
Assam,13/03/2021,538913
Assam,14/03/2021,539254
Assam,15/03/2021,544905
Assam,16/03/2021,580695
Assam,17/03/2021,590838
Bihar,16/01/2021,18169
Bihar,18/01/2021,33389
Bihar,19/01/2021,42085
Bihar,20/01/2021,47433
Bihar,21/01/2021,63541
Bihar,22/01/2021,63620
Bihar,23/01/2021,76125
Bihar,24/01/2021,76125
Bihar,25/01/2021,88450
Bihar,26/01/2021,88450
Bihar,27/01/2021,89074
Bihar,28/01/2021,107174
Bihar,29/01/2021,110396
Bihar,30/01/2021,146015
Bihar,31/01/2021,148293
Bihar,01/02/2021,184215
Bihar,02/02/2021,222153
Bihar,03/02/2021,264097
Bihar,04/02/2021,312339
Bihar,05/02/2021,354360
Bihar,06/02/2021,374538
Bihar,07/02/2021,380229
Bihar,08/02/2021,397555
Bihar,09/02/2021,415989
Bihar,10/02/2021,430307
Bihar,11/02/2021,448903
Bihar,12/02/2021,471683
Bihar,13/02/2021,491233
Bihar,14/02/2021,492152
Bihar,15/02/2021,509026
Bihar,16/02/2021,510485
Bihar,17/02/2021,518095
Bihar,18/02/2021,540107
Bihar,19/02/2021,550433
Bihar,20/02/2021,561343
Bihar,21/02/2021,561857
Bihar,22/02/2021,582950
Bihar,23/02/2021,592457
Bihar,24/02/2021,600795
Bihar,25/02/2021,624386
Bihar,26/02/2021,639370
Bihar,27/02/2021,639370
Bihar,28/02/2021,639370
Bihar,01/03/2021,643349
Bihar,02/03/2021,660596
Bihar,03/03/2021,692382
Bihar,04/03/2021,742349
Bihar,05/03/2021,788907
Bihar,06/03/2021,842232
Bihar,07/03/2021,842232
Bihar,08/03/2021,1044369
Bihar,09/03/2021,1120131
Bihar,10/03/2021,1179290
Bihar,11/03/2021,1179290
Bihar,12/03/2021,1314865
Bihar,13/03/2021,1400949
Bihar,14/03/2021,1400949
Bihar,15/03/2021,1560955
Bihar,16/03/2021,1564107
Bihar,17/03/2021,1634065
Chandigarh,16/01/2021,265
Chandigarh,18/01/2021,265
Chandigarh,19/01/2021,469
Chandigarh,20/01/2021,469
Chandigarh,21/01/2021,753
Chandigarh,22/01/2021,1157
Chandigarh,23/01/2021,1502
Chandigarh,24/01/2021,1502
Chandigarh,25/01/2021,1928
Chandigarh,26/01/2021,1928
Chandigarh,27/01/2021,2355
Chandigarh,28/01/2021,2764
Chandigarh,29/01/2021,2977
Chandigarh,30/01/2021,3447
Chandigarh,31/01/2021,3447
Chandigarh,01/02/2021,3803
Chandigarh,02/02/2021,4019
Chandigarh,03/02/2021,4399
Chandigarh,04/02/2021,4782
Chandigarh,05/02/2021,5234
Chandigarh,06/02/2021,5645
Chandigarh,07/02/2021,5645
Chandigarh,08/02/2021,6027
Chandigarh,09/02/2021,6458
Chandigarh,10/02/2021,6903
Chandigarh,11/02/2021,7374
Chandigarh,12/02/2021,8017
Chandigarh,13/02/2021,8803
Chandigarh,14/02/2021,8803
Chandigarh,15/02/2021,9356
Chandigarh,16/02/2021,10008
Chandigarh,17/02/2021,10860
Chandigarh,18/02/2021,11804
Chandigarh,19/02/2021,12647
Chandigarh,20/02/2021,13748
Chandigarh,21/02/2021,13748
Chandigarh,22/02/2021,15287
Chandigarh,23/02/2021,17003
Chandigarh,24/02/2021,18562
Chandigarh,25/02/2021,20462
Chandigarh,26/02/2021,22602
Chandigarh,27/02/2021,22602
Chandigarh,28/02/2021,22602
Chandigarh,01/03/2021,24323
Chandigarh,02/03/2021,24265
Chandigarh,03/03/2021,26991
Chandigarh,04/03/2021,29841
Chandigarh,05/03/2021,32619
Chandigarh,06/03/2021,35350
Chandigarh,07/03/2021,35350
Chandigarh,08/03/2021,38806
Chandigarh,09/03/2021,41600
Chandigarh,10/03/2021,44467
Chandigarh,11/03/2021,45417
Chandigarh,12/03/2021,48034
Chandigarh,13/03/2021,50592
Chandigarh,14/03/2021,50714
Chandigarh,15/03/2021,209778
Chandigarh,16/03/2021,56017
Chandigarh,17/03/2021,58079
Chhattisgarh,16/01/2021,5592
Chhattisgarh,18/01/2021,10872
Chhattisgarh,19/01/2021,10872
Chhattisgarh,20/01/2021,16255
Chhattisgarh,21/01/2021,22171
Chhattisgarh,22/01/2021,22259
Chhattisgarh,23/01/2021,28732
Chhattisgarh,24/01/2021,28732
Chhattisgarh,25/01/2021,40025
Chhattisgarh,26/01/2021,40025
Chhattisgarh,27/01/2021,51647
Chhattisgarh,28/01/2021,62115
Chhattisgarh,29/01/2021,62529
Chhattisgarh,30/01/2021,72704
Chhattisgarh,31/01/2021,72704
Chhattisgarh,01/02/2021,76705
Chhattisgarh,02/02/2021,79676
Chhattisgarh,03/02/2021,101564
Chhattisgarh,04/02/2021,131173
Chhattisgarh,05/02/2021,150487
Chhattisgarh,06/02/2021,168881
Chhattisgarh,07/02/2021,168881
Chhattisgarh,08/02/2021,184733
Chhattisgarh,09/02/2021,198567
Chhattisgarh,10/02/2021,216784
Chhattisgarh,11/02/2021,233126
Chhattisgarh,12/02/2021,247745
Chhattisgarh,13/02/2021,262107
Chhattisgarh,14/02/2021,262987
Chhattisgarh,15/02/2021,287224
Chhattisgarh,16/02/2021,302990
Chhattisgarh,17/02/2021,318380
Chhattisgarh,18/02/2021,336131
Chhattisgarh,19/02/2021,346550
Chhattisgarh,20/02/2021,361225
Chhattisgarh,21/02/2021,361950
Chhattisgarh,22/02/2021,378902
Chhattisgarh,23/02/2021,389026
Chhattisgarh,24/02/2021,405883
Chhattisgarh,25/02/2021,421991
Chhattisgarh,26/02/2021,429625
Chhattisgarh,27/02/2021,429625
Chhattisgarh,28/02/2021,429625
Chhattisgarh,01/03/2021,443837
Chhattisgarh,02/03/2021,460063
Chhattisgarh,03/03/2021,490690
Chhattisgarh,04/03/2021,535205
Chhattisgarh,05/03/2021,580137
Chhattisgarh,06/03/2021,632750
Chhattisgarh,07/03/2021,634650
Chhattisgarh,08/03/2021,683738
Chhattisgarh,09/03/2021,724260
Chhattisgarh,10/03/2021,774763
Chhattisgarh,11/03/2021,779548
Chhattisgarh,12/03/2021,828187
Chhattisgarh,13/03/2021,885989
Chhattisgarh,14/03/2021,892668
Chhattisgarh,15/03/2021,905866
Chhattisgarh,16/03/2021,1035067
Chhattisgarh,17/03/2021,1114501
Dadra and Nagar Haveli and Daman and Diu,16/01/2021,123
Dadra and Nagar Haveli and Daman and Diu,18/01/2021,123
Dadra and Nagar Haveli and Daman and Diu,19/01/2021,208
Dadra and Nagar Haveli and Daman and Diu,20/01/2021,219
Dadra and Nagar Haveli and Daman and Diu,21/01/2021,278
Dadra and Nagar Haveli and Daman and Diu,22/01/2021,356
Dadra and Nagar Haveli and Daman and Diu,23/01/2021,628
Dadra and Nagar Haveli and Daman and Diu,24/01/2021,628
Dadra and Nagar Haveli and Daman and Diu,25/01/2021,665
Dadra and Nagar Haveli and Daman and Diu,26/01/2021,665
Dadra and Nagar Haveli and Daman and Diu,27/01/2021,665
Dadra and Nagar Haveli and Daman and Diu,28/01/2021,779
Dadra and Nagar Haveli and Daman and Diu,29/01/2021,940
Dadra and Nagar Haveli and Daman and Diu,30/01/2021,1083
Dadra and Nagar Haveli and Daman and Diu,31/01/2021,1083
Dadra and Nagar Haveli and Daman and Diu,01/02/2021,1273
Dadra and Nagar Haveli and Daman and Diu,02/02/2021,1336
Dadra and Nagar Haveli and Daman and Diu,03/02/2021,1487
Dadra and Nagar Haveli and Daman and Diu,04/02/2021,1636
Dadra and Nagar Haveli and Daman and Diu,05/02/2021,1888
Dadra and Nagar Haveli and Daman and Diu,06/02/2021,2212
Dadra and Nagar Haveli and Daman and Diu,07/02/2021,2212
Dadra and Nagar Haveli and Daman and Diu,08/02/2021,2295
Dadra and Nagar Haveli and Daman and Diu,09/02/2021,2540
Dadra and Nagar Haveli and Daman and Diu,10/02/2021,3356
Dadra and Nagar Haveli and Daman and Diu,11/02/2021,3728
Dadra and Nagar Haveli and Daman and Diu,12/02/2021,3985
Dadra and Nagar Haveli and Daman and Diu,13/02/2021,4114
Dadra and Nagar Haveli and Daman and Diu,14/02/2021,4114
Dadra and Nagar Haveli and Daman and Diu,15/02/2021,4394
Dadra and Nagar Haveli and Daman and Diu,16/02/2021,4647
Dadra and Nagar Haveli and Daman and Diu,17/02/2021,5811
Dadra and Nagar Haveli and Daman and Diu,18/02/2021,6341
Dadra and Nagar Haveli and Daman and Diu,19/02/2021,6795
Dadra and Nagar Haveli and Daman and Diu,20/02/2021,7131
Dadra and Nagar Haveli and Daman and Diu,21/02/2021,7131
Dadra and Nagar Haveli and Daman and Diu,22/02/2021,7292
Dadra and Nagar Haveli and Daman and Diu,23/02/2021,7351
Dadra and Nagar Haveli and Daman and Diu,24/02/2021,7425
Dadra and Nagar Haveli and Daman and Diu,25/02/2021,7994
Dadra and Nagar Haveli and Daman and Diu,26/02/2021,8442
Dadra and Nagar Haveli and Daman and Diu,27/02/2021,8442
Dadra and Nagar Haveli and Daman and Diu,28/02/2021,8442
Dadra and Nagar Haveli and Daman and Diu,01/03/2021,8255
Dadra and Nagar Haveli and Daman and Diu,02/03/2021,8953
Dadra and Nagar Haveli and Daman and Diu,03/03/2021,10005
Dadra and Nagar Haveli and Daman and Diu,04/03/2021,10967
Dadra and Nagar Haveli and Daman and Diu,05/03/2021,12095
Dadra and Nagar Haveli and Daman and Diu,06/03/2021,13226
Dadra and Nagar Haveli and Daman and Diu,07/03/2021,13226
Dadra and Nagar Haveli and Daman and Diu,08/03/2021,13998
Dadra and Nagar Haveli and Daman and Diu,09/03/2021,14652
Dadra and Nagar Haveli and Daman and Diu,10/03/2021,15556
Dadra and Nagar Haveli and Daman and Diu,11/03/2021,15556
Dadra and Nagar Haveli and Daman and Diu,12/03/2021,16688
Dadra and Nagar Haveli and Daman and Diu,13/03/2021,17166
Dadra and Nagar Haveli and Daman and Diu,14/03/2021,17166
Dadra and Nagar Haveli and Daman and Diu,15/03/2021,92213
Dadra and Nagar Haveli and Daman and Diu,16/03/2021,19032
Dadra and Nagar Haveli and Daman and Diu,17/03/2021,19883
Delhi,16/01/2021,4319
Delhi,18/01/2021,7968
Delhi,19/01/2021,12441
Delhi,20/01/2021,12902
Delhi,21/01/2021,18844
Delhi,22/01/2021,18844
Delhi,23/01/2021,25811
Delhi,24/01/2021,25811
Delhi,25/01/2021,33219
Delhi,26/01/2021,33219
Delhi,27/01/2021,39764
Delhi,28/01/2021,48008
Delhi,29/01/2021,48008
Delhi,30/01/2021,56818
Delhi,31/01/2021,56818
Delhi,01/02/2021,64711
Delhi,02/02/2021,74068
Delhi,03/02/2021,81433
Delhi,04/02/2021,90927
Delhi,05/02/2021,100079
Delhi,06/02/2021,109589
Delhi,07/02/2021,109589
Delhi,08/02/2021,119329
Delhi,09/02/2021,132046
Delhi,10/02/2021,146789
Delhi,11/02/2021,162596
Delhi,12/02/2021,177439
Delhi,13/02/2021,191207
Delhi,14/02/2021,191207
Delhi,15/02/2021,206172
Delhi,16/02/2021,221225
Delhi,17/02/2021,236562
Delhi,18/02/2021,260979
Delhi,19/02/2021,285300
Delhi,20/02/2021,311410
Delhi,21/02/2021,311410
Delhi,22/02/2021,338629
Delhi,23/02/2021,359095
Delhi,24/02/2021,377694
Delhi,25/02/2021,396639
Delhi,26/02/2021,409959
Delhi,27/02/2021,409959
Delhi,28/02/2021,409959
Delhi,01/03/2021,425480
Delhi,02/03/2021,446757
Delhi,03/03/2021,471811
Delhi,04/03/2021,499770
Delhi,05/03/2021,526827
Delhi,06/03/2021,560074
Delhi,07/03/2021,560074
Delhi,08/03/2021,595812
Delhi,09/03/2021,630051
Delhi,10/03/2021,660991
Delhi,11/03/2021,690432
Delhi,12/03/2021,721007
Delhi,13/03/2021,760860
Delhi,14/03/2021,760860
Delhi,15/03/2021,946928
Delhi,16/03/2021,839039
Delhi,17/03/2021,867433
Goa,16/01/2021,426
Goa,18/01/2021,426
Goa,19/01/2021,426
Goa,20/01/2021,426
Goa,21/01/2021,426
Goa,22/01/2021,946
Goa,23/01/2021,1561
Goa,24/01/2021,1561
Goa,25/01/2021,1796
Goa,26/01/2021,1796
Goa,27/01/2021,2311
Goa,28/01/2021,2882
Goa,29/01/2021,3391
Goa,30/01/2021,4117
Goa,31/01/2021,4117
Goa,01/02/2021,4509
Goa,02/02/2021,5422
Goa,03/02/2021,6326
Goa,04/02/2021,7193
Goa,05/02/2021,7939
Goa,06/02/2021,8257
Goa,07/02/2021,8257
Goa,08/02/2021,8352
Goa,09/02/2021,8929
Goa,10/02/2021,9961
Goa,11/02/2021,11391
Goa,12/02/2021,12949
Goa,13/02/2021,13683
Goa,14/02/2021,13683
Goa,15/02/2021,13683
Goa,16/02/2021,13501
Goa,17/02/2021,14046
Goa,18/02/2021,14218
Goa,19/02/2021,15020
Goa,20/02/2021,16183
Goa,21/02/2021,16183
Goa,22/02/2021,16811
Goa,23/02/2021,17084
Goa,24/02/2021,18300
Goa,25/02/2021,19793
Goa,26/02/2021,20794
Goa,27/02/2021,20794
Goa,28/02/2021,20794
Goa,01/03/2021,22943
Goa,02/03/2021,26408
Goa,03/03/2021,30501
Goa,04/03/2021,35482
Goa,05/03/2021,39766
Goa,06/03/2021,43051
Goa,07/03/2021,43058
Goa,08/03/2021,46801
Goa,09/03/2021,50409
Goa,10/03/2021,54615
Goa,11/03/2021,56843
Goa,12/03/2021,62173
Goa,13/03/2021,66143
Goa,14/03/2021,66143
Goa,15/03/2021,206826
Goa,16/03/2021,77336
Goa,17/03/2021,80576
Gujarat,16/01/2021,10787
Gujarat,18/01/2021,10787
Gujarat,19/01/2021,17581
Gujarat,20/01/2021,21832
Gujarat,21/01/2021,34865
Gujarat,22/01/2021,46150
Gujarat,23/01/2021,78466
Gujarat,24/01/2021,78466
Gujarat,25/01/2021,91927
Gujarat,26/01/2021,91927
Gujarat,27/01/2021,94524
Gujarat,28/01/2021,162616
Gujarat,29/01/2021,221675
Gujarat,30/01/2021,246054
Gujarat,31/01/2021,247891
Gujarat,01/02/2021,256097
Gujarat,02/02/2021,287852
Gujarat,03/02/2021,311251
Gujarat,04/02/2021,348183
Gujarat,05/02/2021,394416
Gujarat,06/02/2021,438573
Gujarat,07/02/2021,451002
Gujarat,08/02/2021,505960
Gujarat,09/02/2021,572412
Gujarat,10/02/2021,614530
Gujarat,11/02/2021,645439
Gujarat,12/02/2021,667073
Gujarat,13/02/2021,680326
Gujarat,14/02/2021,683903
Gujarat,15/02/2021,699352
Gujarat,16/02/2021,711437
Gujarat,17/02/2021,717244
Gujarat,18/02/2021,839199
Gujarat,19/02/2021,856657
Gujarat,20/02/2021,882070
Gujarat,21/02/2021,883118
Gujarat,22/02/2021,897666
Gujarat,23/02/2021,905054
Gujarat,24/02/2021,910683
Gujarat,25/02/2021,958094
Gujarat,26/02/2021,1001170
Gujarat,27/02/2021,1001170
Gujarat,28/02/2021,1001170
Gujarat,01/03/2021,1070108
Gujarat,02/03/2021,1171503
Gujarat,03/03/2021,1229465
Gujarat,04/03/2021,1421761
Gujarat,05/03/2021,1605119
Gujarat,06/03/2021,1764981
Gujarat,07/03/2021,1765707
Gujarat,08/03/2021,1953148
Gujarat,09/03/2021,2117257
Gujarat,10/03/2021,2162924
Gujarat,11/03/2021,2173745
Gujarat,12/03/2021,2347875
Gujarat,13/03/2021,2485153
Gujarat,14/03/2021,2496697
Gujarat,15/03/2021,2499274
Gujarat,16/03/2021,2812023
Gujarat,17/03/2021,2853958
Haryana,16/01/2021,5589
Haryana,18/01/2021,17642
Haryana,19/01/2021,24944
Haryana,20/01/2021,30402
Haryana,21/01/2021,45893
Haryana,22/01/2021,62142
Haryana,23/01/2021,71297
Haryana,24/01/2021,72204
Haryana,25/01/2021,105419
Haryana,26/01/2021,105419
Haryana,27/01/2021,109782
Haryana,28/01/2021,115968
Haryana,29/01/2021,123935
Haryana,30/01/2021,125898
Haryana,31/01/2021,125977
Haryana,01/02/2021,126759
Haryana,02/02/2021,127893
Haryana,03/02/2021,129866
Haryana,04/02/2021,133637
Haryana,05/02/2021,137706
Haryana,06/02/2021,139068
Haryana,07/02/2021,139129
Haryana,08/02/2021,169055
Haryana,09/02/2021,180663
Haryana,10/02/2021,183529
Haryana,11/02/2021,190390
Haryana,12/02/2021,194124
Haryana,13/02/2021,196333
Haryana,14/02/2021,196352
Haryana,15/02/2021,204984
Haryana,16/02/2021,205871
Haryana,17/02/2021,209684
Haryana,18/02/2021,220266
Haryana,19/02/2021,226709
Haryana,20/02/2021,232295
Haryana,21/02/2021,232295
Haryana,22/02/2021,255613
Haryana,23/02/2021,268853
Haryana,24/02/2021,271497
Haryana,25/02/2021,289033
Haryana,26/02/2021,293824
Haryana,27/02/2021,293824
Haryana,28/02/2021,293824
Haryana,01/03/2021,299672
Haryana,02/03/2021,308375
Haryana,03/03/2021,314562
Haryana,04/03/2021,333415
